# ell  K  y  alpha  alpha_over_ac
7.133333333333332860e+00 4.271214653921846072e+00 5.797849900569997071e-38 3.704064343778035867e-02 2.035310267494534475e-01
7.166666666666666963e+00 4.271214653921846072e+00 3.962583055154489965e-38 3.704064343778035867e-02 2.035310267494534475e-01
7.200000000000000178e+00 4.271214653921846072e+00 2.708340284056488884e-38 3.704064343778035867e-02 2.035310267494534475e-01
7.233333333333333393e+00 4.271214653921846072e+00 1.850937910329996449e-38 3.704064343778035867e-02 2.035310267494534475e-01
7.266666666666666607e+00 4.271214653921846072e+00 1.265037095716415901e-38 3.704064343778035867e-02 2.035310267494534475e-01
7.299999999999999822e+00 4.271214653921846072e+00 8.646256442998430442e-39 3.704064343778035867e-02 2.035310267494534475e-01
7.333333333333333037e+00 4.271214653921846072e+00 5.909037327027032271e-39 3.704064343778035867e-02 2.035310267494534475e-01
7.366666666666666252e+00 4.271214653921846072e+00 4.038574917582977093e-39 3.704064343778035867e-02 2.035310267494534475e-01
7.399999999999999467e+00 4.271214653921846072e+00 2.760279087460957043e-39 3.704064343778035867e-02 2.035310267494534475e-01
7.433333333333333570e+00 4.271214653921846072e+00 1.886434003935511495e-39 3.704064343778035867e-02 2.035310267494534475e-01
7.466666666666666785e+00 4.271214653921846072e+00 1.289297161336873746e-39 3.704064343778035867e-02 2.035310267494534475e-01
7.500000000000000000e+00 4.271214653921846072e+00 8.812068773236596389e-40 3.704064343778035867e-02 2.035310267494534475e-01
7.533333333333333215e+00 4.271214653921846072e+00 6.022357034245758322e-40 3.704064343778035867e-02 2.035310267494534475e-01
7.566666666666666430e+00 4.271214653921846072e+00 4.116024102943198020e-40 3.704064343778035867e-02 2.035310267494534475e-01
7.599999999999999645e+00 4.271214653921846072e+00 2.813213939742626441e-40 3.704064343778035867e-02 2.035310267494534475e-01
7.633333333333332860e+00 4.271214653921846072e+00 1.922610818733376763e-40 3.704064343778035867e-02 2.035310267494534475e-01
